FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,SCHED_DEP_DATE,SCHED_DEP_TIME,ACTUAL_DEP_DATE,ACTUAL_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR_OF_MANUFACTURE,MANUFACTURER,ICAO_TYPE,ACTIVE_WEATHER
44570,16,YX,4540,N413YX,JFK,RDU,2022-01-09,16:41:00,2022-01-09,16:45:00,23,-4,74,0,2013,Embraer,E75L,0
44570,12,YX,4628,N428YX,JFK,RDU,2022-01-09,12:54:00,2022-01-09,13:00:00,35,-6,74,0,2014,Embraer,E75L,0
44570,7,YX,4926,N453YX,JFK,RDU,2022-01-09,7:34:00,2022-01-09,7:40:00,16,-6,76,0,2021,Embraer,E75L,0
44570,17,B6,1185,N274JB,JFK,RDU,2022-01-09,17:42:00,2022-01-09,17:29:00,11,13,75,0,2007,Embraer,E190,0
44570,22,B6,1295,N504JB,JFK,AUS,2022-01-09,22:39:00,2022-01-09,20:40:00,19,119,234,0,1999,Airbus,A320,1
44570,12,B6,285,N324JB,JFK,RDU,2022-01-09,12:11:00,2022-01-09,12:20:00,17,-9,74,0,2010,Embraer,E190,0
44570,13,B6,295,N709JB,JFK,AUS,2022-01-09,13:38:00,2022-01-09,13:44:00,29,-6,249,0,2008,Airbus,A320,0
44570,21,B6,385,N216JB,JFK,RDU,2022-01-09,21:09:00,2022-01-09,20:40:00,16,29,74,0,2006,Embraer,E190,1
44570,20,B6,97,N972JT,JFK,DEN,2022-01-09,20:09:00,2022-01-09,20:00:00,26,9,239,0,2016,Airbus,A321,0
44570,20,DL,1077,N855DN,JFK,DEN,2022-01-09,20:08:00,2022-01-09,19:59:00,26,9,245,0,2016,Boeing,B739,0
44570,8,DL,1170,N707TW,JFK,DEN,2022-01-09,8:10:00,2022-01-09,7:59:00,12,11,240,0,1997,Boeing,B752,0
44570,12,DL,1175,N325NB,JFK,AUS,2022-01-09,12:58:00,2022-01-09,13:05:00,16,-7,240,0,2001,Airbus,A319,0
44570,20,9E,4829,N294PQ,JFK,RDU,2022-01-09,20:39:00,2022-01-09,16:55:00,26,224,78,0,2013,Bombardier,CRJ9,0
44570,8,9E,4873,N309PQ,JFK,RDU,2022-01-09,8:11:00,2022-01-09,8:15:00,25,-4,74,0,2014,Bombardier,CRJ9,0
44570,13,9E,5113,N294PQ,JFK,RDU,2022-01-09,13:10:00,2022-01-09,11:42:00,31,88,69,0,2013,Bombardier,CRJ9,0
